"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.275039917925678e+05, 5.767110736440328e-01, 4.712605533994400e-01
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.276677844196098e+05, 5.803193494151119e-01, 4.983155131032420e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.250264702228800e+05, 5.221324200521665e-01, 5.322031700469242e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.228415714092428e+05, 4.740001103513014e-01, 5.608773689690727e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.210889158448337e+05, 4.353899193902603e-01, 5.825489421967521e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.195870925262856e+05, 4.023054467212480e-01, 6.001356729501911e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.182620204511752e+05, 3.731147221453057e-01, 6.151852546189301e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.170657144949238e+05, 3.467606555753185e-01, 6.284530318740252e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.159661006148479e+05, 3.225366706947210e-01, 6.404225108958759e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.149433633299429e+05, 3.000062416275174e-01, 6.513666322238086e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.139821306234779e+05, 2.788307299592429e-01, 6.615466551534397e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.130720989236279e+05, 2.587831527710495e-01, 6.710913786917080e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.122040853173816e+05, 2.396612147391180e-01, 6.801381838181804e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.113717853496485e+05, 2.213260316354836e-01, 6.887597067796780e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.105706116469794e+05, 2.036765457460823e-01, 6.970197949179096e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.097968178156488e+05, 1.866302257509595e-01, 7.049649875488659e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.090466055385103e+05, 1.701033964812291e-01, 7.126364486099185e-01
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.083186513532423e+05, 1.540669026744358e-01, 7.200624319824820e-01
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.076096672860553e+05, 1.384483117896650e-01, 7.272746848056300e-01
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.069186529605229e+05, 1.232255859972098e-01, 7.342785560905880e-01
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.062428881074461e+05, 1.083387990255466e-01, 7.411135939895078e-01
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.055815460423975e+05, 9.376973939933260e-02, 7.477912340878169e-01
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.049340597751609e+05, 7.950591658649997e-02, 7.543213306813166e-01
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.042975889305405e+05, 6.548475843600229e-02, 7.607293063192657e-01
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.036717210769097e+05, 5.169717926997890e-02, 7.670180555968205e-01
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.030566643804532e+05, 3.814776489313926e-02, 7.731942659984575e-01
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.024498300480502e+05, 2.477948539111601e-02, 7.792838613161198e-01
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.018494632791700e+05, 1.155368332033491e-02, 7.853026423142122e-01
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.012563811151993e+05, -1.511642275579147e-03, 7.912423770019693e-01
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.006675011775241e+05, -1.448439477097969e-02, 7.971329311792079e-01
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.000836638490644e+05, -2.734606091906356e-02, 8.029699222404285e-01
30, 7.790099978450000e-01, -2.806276676215449e-02, 9.950280222847212e+04, -4.014217359997613e-02, 8.087775817380081e-01
31, 7.657799720760000e-01, -2.951033727360171e-02, 9.892286737200104e+04, -5.291787009620207e-02, 8.145684137675918e-01
32, 7.522799968720000e-01, -3.096181144522562e-02, 9.834437516432020e+04, -6.566178570723190e-02, 8.203512023698820e-01
33, 7.385200262070000e-01, -3.241453277608040e-02, 9.776461201259877e+04, -7.843369962728741e-02, 8.261417576239051e-01
34, 7.245299816130000e-01, -3.386376679305321e-02, 9.718312986932322e+04, -9.124348213573664e-02, 8.319446359599398e-01
35, 7.103199958800001e-01, -3.530689307158652e-02, 9.659876759809539e+04, -1.041167125300616e-01, 8.377731697505397e-01
36, 6.958900094030001e-01, -3.674225211597043e-02, 9.601270837251208e+04, -1.170273260434934e-01, 8.436206760438540e-01
37, 6.812700033190000e-01, -3.816515293304169e-02, 9.542250827953217e+04, -1.300291609492931e-01, 8.495178218721434e-01
38, 6.664699912070000e-01, -3.957289370556494e-02, 9.482226365748201e+04, -1.432522721819374e-01, 8.555143310569078e-01
39, 6.514999866490000e-01, -4.096270419333766e-02, 9.421561782446678e+04, -1.566163991296838e-01, 8.615677809218082e-01
40, 6.363800168040000e-01, -4.233084266562091e-02, 9.360557297615406e+04, -1.700554048113818e-01, 8.676549155373351e-01
41, 6.211299896240000e-01, -4.367359094194759e-02, 9.298241317054835e+04, -1.837833269326877e-01, 8.738902916667924e-01
42, 6.057599782940000e-01, -4.498807223669178e-02, 9.234865881912930e+04, -1.977446419951425e-01, 8.802206850306858e-01
43, 5.902799963950000e-01, -4.627132533375768e-02, 9.171455251075057e+04, -2.117137105065346e-01, 8.865475600461714e-01
44, 5.747100114820000e-01, -4.751950934859488e-02, 9.105948858469987e+04, -2.261444656361278e-01, 8.931061485811900e-01
45, 5.590599775310000e-01, -4.872955796694115e-02, 9.036896896646194e+04, -2.413562932558348e-01, 9.000429545331944e-01
46, 5.433599948880000e-01, -4.989683951066199e-02, 8.969943888637816e+04, -2.561057310638908e-01, 9.067617955644190e-01
47, 5.276100039480000e-01, -5.101897737545535e-02, 8.906330366904716e+04, -2.701194955005294e-01, 9.131430954632400e-01
48, 5.118399858470000e-01, -5.209138375948307e-02, 8.832814203648112e+04, -2.863147660357160e-01, 9.207058336369885e-01
49, 4.960500001910000e-01, -5.311153541819326e-02, 8.752750900667030e+04, -3.039523411522703e-01, 9.286592608604342e-01
50, 4.802699983120000e-01, -5.407492053959814e-02, 8.687943491665200e+04, -3.182291134289415e-01, 9.350832431484721e-01
51, 4.645099937920000e-01, -5.497835513414191e-02, 8.628171748440807e+04, -3.313965518397290e-01, 9.410764431227059e-01
52, 4.487800002100000e-01, -5.581859897363720e-02, 8.541936962187507e+04, -3.503936761597434e-01, 9.502014127242882e-01
53, 4.331099987030000e-01, -5.659141825851464e-02, 8.454076137214203e+04, -3.697490092845239e-01, 9.590177923392517e-01
54, 4.174999892710000e-01, -5.729416860686566e-02, 8.396893919322053e+04, -3.823459872488514e-01, 9.647452843235903e-01
55, 4.019699990750000e-01, -5.792324246601335e-02, 8.313477536952244e+04, -4.007222302368078e-01, 9.734099255876428e-01
56, 3.865399956700000e-01, -5.847520956655861e-02, 8.254019451298953e+04, -4.138205713362779e-01, 9.790138124652829e-01
57, 3.712300062180000e-01, -5.894684318665333e-02, 8.303501920634939e+04, -4.029198123447051e-01, 9.733171400147953e-01
58, 3.560400009160000e-01, -5.933561549045978e-02, 8.379498399849508e+04, -3.861781396827948e-01, 9.637851296089173e-01
59, 3.409900069240000e-01, -5.963847719943702e-02, 7.837203888256566e+04, -5.056431108666054e-01, 1.022727470931068e+00
60, 3.261100053790000e-01, -5.985254444802346e-02, 7.285551454990053e+04, -6.271695888869678e-01, 1.085237409539621e+00
61, 3.113999962810000e-01, -5.997565198183213e-02, 7.232032090796178e+04, -6.389596571331247e-01, 1.089348233388874e+00
62, 2.968699932100000e-01, -6.000550062925582e-02, 7.276180959535838e+04, -6.292338656692047e-01, 1.084075033923209e+00
63, 2.825500071050000e-01, -5.994005483718394e-02, 7.292384866807522e+04, -6.256642198883713e-01, 1.082803125616892e+00
64, 2.684499919410000e-01, -5.977765596976551e-02, 7.306890419825245e+04, -6.224687136897612e-01, 1.081327905362944e+00
65, 2.545700073240000e-01, -5.951657836311273e-02, 7.341067204571933e+04, -6.149397261790355e-01, 1.077132995053640e+00
66, 2.409400045870000e-01, -5.915585896897953e-02, 7.386272544682975e+04, -6.049811989613127e-01, 1.072257598343789e+00
67, 2.275699973110000e-01, -5.869456802648413e-02, 7.434181687373920e+04, -5.944270365483415e-01, 1.066944646704483e+00
68, 2.144699990750000e-01, -5.813197420944613e-02, 7.490150704325599e+04, -5.820973211365480e-01, 1.060584882383235e+00
69, 2.016600072380000e-01, -5.746811193675738e-02, 7.555425193423204e+04, -5.677176532764079e-01, 1.053503247660825e+00
70, 1.891400069000000e-01, -5.670228146432130e-02, 7.627040709917399e+04, -5.519410864268534e-01, 1.045423319372743e+00
71, 1.769299954180000e-01, -5.583513598033686e-02, 7.702329541307123e+04, -5.353553053057868e-01, 1.037412454313046e+00
72, 1.650400012730000e-01, -5.486709202536137e-02, 7.785347620802461e+04, -5.170668065977446e-01, 1.028136747459312e+00
73, 1.534900069240000e-01, -5.379977779145956e-02, 7.874023244067127e+04, -4.975319771802352e-01, 1.018616675279623e+00
74, 1.422899961470000e-01, -5.263443049277360e-02, 7.972075357543411e+04, -4.759315503631765e-01, 1.008074415112287e+00
75, 1.314399987460000e-01, -5.137133628795417e-02, 8.077922576255708e+04, -4.526138979380996e-01, 9.964508154688271e-01
76, 1.209499984980000e-01, -5.001187382363489e-02, 8.190603100504275e+04, -4.277908999276824e-01, 9.849049507178008e-01
77, 1.108499988910000e-01, -4.856066993422563e-02, 8.312864954692779e+04, -4.008571792735586e-01, 9.714099679497874e-01
78, 1.011300012470000e-01, -4.701715290498424e-02, 8.443434403168922e+04, -3.720933340451247e-01, 9.582567249612463e-01
79, 9.181000292300000e-02, -4.538527151431038e-02, 8.583101917092297e+04, -3.413252271041959e-01, 9.431658139750700e-01
80, 8.290000259900000e-02, -4.366791468532204e-02, 8.735068931912890e+04, -3.078475970372718e-01, 9.278642855382966e-01
81, 7.440000027400000e-02, -4.186607976498817e-02, 8.898998363276203e+04, -2.717347019676335e-01, 9.108619231960644e-01
82, 6.633000075800000e-02, -3.998513962421356e-02, 9.075979261490169e+04, -2.327466291525306e-01, 8.928730841957080e-01
83, 5.869000032500000e-02, -3.802635805630503e-02, 9.271359252972825e+04, -1.897053212406979e-01, 8.726464147854318e-01
84, 5.149000138000000e-02, -3.599337852580232e-02, 9.483187670824856e+04, -1.430405011224367e-01, 8.512606848124761e-01
85, 4.473999887700000e-02, -3.389028465845557e-02, 9.715029262310830e+04, -9.196687147288830e-02, 8.273190204720720e-01
86, 3.844000026600000e-02, -3.171811260404538e-02, 9.973141128467901e+04, -3.510602189121354e-02, 8.009980469713559e-01
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.026179350297490e+05, 2.848276033954193e-02, 7.714780530105342e-01
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.058836633098724e+05, 1.004252429829840e-01, 7.379157067718032e-01
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.095692800858207e+05, 1.816176748665171e-01, 6.997025455888133e-01
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.137822052241705e+05, 2.744264659372795e-01, 6.559370038191731e-01
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.186063697311490e+05, 3.807005774194809e-01, 6.056307285613135e-01
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.240862783359946e+05, 5.014204279016123e-01, 5.481964725966683e-01
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.300819959029449e+05, 6.335033111043152e-01, 4.847895934031501e-01
94, 5.040000193000000e-03, -1.226032473458219e-02, 1.369952919577489e+05, 7.858000237423082e-01, 4.106643256825850e-01
95, 3.049999941000000e-03, -9.605565346412577e-03, 1.440753934939778e+05, 9.417713839390972e-01, 3.227494240564340e-01
96, 1.560000004000000e-03, -6.917517506923035e-03, 1.499542465592843e+05, 1.071279796255073e+00, 2.260842011422768e-01
97, 5.600000150000000e-04, -4.173159738460802e-03, 1.542774179339738e+05, 1.166517260890826e+00, 1.168996607053017e-01
98, 5.999999800000000e-05, -1.375329724321098e-03, 1.552782920791493e+05, 1.188566055107974e+00, 5.446370453689702e-03
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.539887171555839e+05, 1.160157316352611e+00, 8.022158020488503e-02
100, 5.999999800000000e-05, 1.375329724321098e-03, 1.523375870485467e+05, 1.123783684231845e+00, 1.575925018613923e-01
101, 5.600000150000000e-04, 4.173159738460802e-03, 1.479244346360829e+05, 1.026563978976836e+00, 2.850259297839907e-01
102, 1.560000004000000e-03, 6.917517506923035e-03, 1.388150674240491e+05, 8.258888350791549e-01, 4.027302536429586e-01
103, 3.049999941000000e-03, 9.605565346412577e-03, 1.289914465244822e+05, 6.094790129992371e-01, 5.093055708308015e-01
104, 5.040000193000000e-03, 1.226032473458219e-02, 1.194411001859662e+05, 3.990893030287574e-01, 5.998064244144011e-01
105, 7.519999985000000e-03, 1.486756313872443e-02, 1.117687463707687e+05, 2.300708992185846e-01, 6.748671757799676e-01
106, 1.049000024800000e-02, 1.742916196961543e-02, 1.048281863410072e+05, 7.717357382994951e-02, 7.430917305142333e-01
107, 1.394999958600000e-02, 1.994492353858276e-02, 9.906343397171765e+04, -4.982125295817805e-02, 8.017170977517564e-01
108, 1.789999939500000e-02, 2.241364555514381e-02, 9.423559622111898e+04, -1.561762842973684e-01, 8.514869407485438e-01
109, 2.232000045500000e-02, 2.482329437156798e-02, 9.017438001567422e+04, -2.456429977865993e-01, 8.941973320784723e-01
110, 2.723000012300000e-02, 2.718419978786347e-02, 8.674711294058624e+04, -3.211441053235203e-01, 9.304861919364501e-01
111, 3.260000050100000e-02, 2.948109446637338e-02, 8.378240576619159e+04, -3.864552323192787e-01, 9.607483511109169e-01
112, 3.844000026600000e-02, 3.171811260404538e-02, 8.111276836866277e+04, -4.452661086879477e-01, 9.895977824828449e-01
113, 4.473999887700000e-02, 3.389028465845557e-02, 7.884746386725662e+04, -4.951697184788907e-01, 1.013488982009966e+00
114, 5.149000138000000e-02, 3.599337852580232e-02, 7.680784381561189e+04, -5.401016042875670e-01, 1.036106402658399e+00
115, 5.869000032500000e-02, 3.802635805630503e-02, 7.497375099439609e+04, -5.805058203271806e-01, 1.056011234852934e+00
116, 6.633000075800000e-02, 3.998513962421356e-02, 7.327492154262016e+04, -6.179302469374501e-01, 1.075195174299889e+00
117, 7.440000027400000e-02, 4.186607976498817e-02, 7.170551152461200e+04, -6.525036233166789e-01, 1.092961632232021e+00
118, 8.290000259900000e-02, 4.366791468532204e-02, 7.029213383795522e+04, -6.836396796474563e-01, 1.109264842499297e+00
119, 9.181000292300000e-02, 4.538527151431038e-02, 6.896732344678698e+04, -7.128246394472573e-01, 1.124613127896999e+00
120, 1.011300012470000e-01, 4.701715290498424e-02, 6.772607523505100e+04, -7.401687631064510e-01, 1.139076632399008e+00
121, 1.108499988910000e-01, 4.856066993422563e-02, 6.657327456580861e+04, -7.655644283377258e-01, 1.152975723379247e+00
122, 1.209499984980000e-01, 5.001187382363489e-02, 6.550716153616879e+04, -7.890504049872935e-01, 1.165457675857269e+00
123, 1.314399987460000e-01, 5.137133628795417e-02, 6.451817309733122e+04, -8.108373625944798e-01, 1.177727204392604e+00
124, 1.422899961470000e-01, 5.263443049277360e-02, 6.358632991835093e+04, -8.313654365736373e-01, 1.188830943214429e+00
125, 1.534900069240000e-01, 5.379977779145956e-02, 6.270710584612901e+04, -8.507343359828474e-01, 1.199713794639492e+00
126, 1.650400012730000e-01, 5.486709202536137e-02, 6.185700931627075e+04, -8.694615691139113e-01, 1.210358335557315e+00
127, 1.769299954180000e-01, 5.583513598033686e-02, 6.104939339562382e+04, -8.872529740839276e-01, 1.220118630299602e+00
128, 1.891400069000000e-01, 5.670228146432130e-02, 6.026110511917104e+04, -9.046185999971131e-01, 1.230564455062848e+00
129, 2.016600072380000e-01, 5.746811193675738e-02, 5.953394775149561e+04, -9.206375402811053e-01, 1.239297719792515e+00
130, 2.144699990750000e-01, 5.813197420944613e-02, 5.884837376092426e+04, -9.357404180121367e-01, 1.248685811861270e+00
131, 2.275699973110000e-01, 5.869456802648413e-02, 5.820758346450203e+04, -9.498567316868008e-01, 1.256367352596875e+00
132, 2.409400045870000e-01, 5.915585896897953e-02, 5.760846948605325e+04, -9.630549353641644e-01, 1.264708239562898e+00
133, 2.545700073240000e-01, 5.951657836311273e-02, 5.701872948446589e+04, -9.760466346695151e-01, 1.271796621613198e+00
134, 2.684499919410000e-01, 5.977765596976551e-02, 5.649075814211155e+04, -9.876775989982827e-01, 1.279347084292590e+00
135, 2.825500071050000e-01, 5.994005483718394e-02, 5.597027498889009e+04, -9.991436019859606e-01, 1.285735334751852e+00
136, 2.968699932100000e-01, 6.000550062925582e-02, 5.550625815881707e+04, -1.009365678007096e+00, 1.292223704973960e+00
137, 3.113999962810000e-01, 5.997565198183213e-02, 5.504287666763224e+04, -1.019573757806558e+00, 1.298386611338092e+00
138, 3.261100053790000e-01, 5.985254444802346e-02, 5.463441249239744e+04, -1.028572034551182e+00, 1.303764071826269e+00
139, 3.409900069240000e-01, 5.963847719943702e-02, 5.423474700635164e+04, -1.037376480244976e+00, 1.309501395158657e+00
140, 3.560400009160000e-01, 5.933561549045978e-02, 5.386675437424130e+04, -1.045483187624658e+00, 1.314147555168362e+00
141, 3.712300062180000e-01, 5.894684318665333e-02, 5.352417393852830e+04, -1.053030076078383e+00, 1.319137812845549e+00
142, 3.865399956700000e-01, 5.847520956655861e-02, 5.317795506301611e+04, -1.060657117677027e+00, 1.323520618095431e+00
143, 4.019699990750000e-01, 5.792324246601335e-02, 5.288661824876846e+04, -1.067075132865239e+00, 1.327832325821486e+00
144, 4.174999892710000e-01, 5.729416860686566e-02, 5.259194539634083e+04, -1.073566639430650e+00, 1.331637163647633e+00
145, 4.331099987030000e-01, 5.659141825851464e-02, 5.234561028583439e+04, -1.078993287912076e+00, 1.335265859051134e+00
146, 4.487800002100000e-01, 5.581859897363720e-02, 5.208908285556662e+04, -1.084644468480873e+00, 1.338611616841123e+00
147, 4.645099937920000e-01, 5.497835513414191e-02, 5.190462433666399e+04, -1.088708004285538e+00, 1.341429916425766e+00
148, 4.802699983120000e-01, 5.407492053959814e-02, 5.172565292974140e+04, -1.092650661552699e+00, 1.343702451538323e+00
149, 4.960500001910000e-01, 5.311153541819326e-02, 5.155865438470596e+04, -1.096329562213485e+00, 1.346101403845355e+00
150, 5.118399858470000e-01, 5.209138375948307e-02, 5.137584668625827e+04, -1.100356731207521e+00, 1.348715066414745e+00
151, 5.276100039480000e-01, 5.101897737545535e-02, 5.122513666200945e+04, -1.103676803293648e+00, 1.350609449219894e+00
152, 5.433599948880000e-01, 4.989683951066199e-02, 5.110505585572385e+04, -1.106322127883141e+00, 1.352698928505528e+00
153, 5.590599775310000e-01, 4.872955796694115e-02, 5.099575304707226e+04, -1.108730018172776e+00, 1.353717601566158e+00
154, 5.747100114820000e-01, 4.751950934859488e-02, 5.082126299347023e+04, -1.112573953300240e+00, 1.356964932308567e+00
155, 5.902799963950000e-01, 4.627132533375768e-02, 5.103794393580226e+04, -1.107800572419851e+00, 1.354008461010467e+00
156, 6.057599782940000e-01, 4.498807223669178e-02, 5.091064713565365e+04, -1.110604862014609e+00, 1.351433087718916e+00
157, 6.211299896240000e-01, 4.367359094194759e-02, 4.617476200817283e+04, -1.214934219621866e+00, 1.462360709271896e+00
158, 6.363800168040000e-01, 4.233084266562091e-02, 9.677131154001807e+04, -1.003156493422405e-01, 8.159884382413543e-01
159, 6.514999866490000e-01, 4.096270419333766e-02, 1.022770137474584e+05, 2.097242226786068e-02, 7.504389157166077e-01
160, 6.664699912070000e-01, 3.957289370556494e-02, 1.006754110564676e+05, -1.431014379851895e-02, 7.637230821558658e-01
161, 6.812700033190000e-01, 3.816515293304169e-02, 1.009679709172564e+05, -7.865185461025265e-03, 7.615113084621929e-01
162, 6.958900094030001e-01, 3.674225211597043e-02, 1.009141008076905e+05, -9.051919043862409e-03, 7.621700380963958e-01
163, 7.103199958800001e-01, 3.530689307158652e-02, 1.008986989639777e+05, -9.391214532935671e-03, 7.622715089966847e-01
164, 7.245299816130000e-01, 3.386376679305321e-02, 1.010033057697671e+05, -7.086775013060926e-03, 7.610880058830125e-01
165, 7.385200262070000e-01, 3.241453277608040e-02, 1.011640949242168e+05, -3.544664353194224e-03, 7.594109576086748e-01
166, 7.522799968720000e-01, 3.096181144522562e-02, 1.013910993454723e+05, 1.456137990208336e-03, 7.570015816415042e-01
167, 7.657799720760000e-01, 2.951033727360171e-02, 1.016520922639418e+05, 7.205691197476824e-03, 7.541978102928011e-01
168, 7.790099978450000e-01, 2.806276676215449e-02, 1.019559236144992e+05, 1.389895523816483e-02, 7.509788492132576e-01
169, 7.919700145720000e-01, 2.662062628442961e-02, 1.022943946619297e+05, 2.135531576983772e-02, 7.474248385198661e-01
170, 8.046399950980000e-01, 2.518763605296113e-02, 1.026668135278569e+05, 2.955953103206011e-02, 7.435493856867035e-01
171, 8.170099854470000e-01, 2.376642068849115e-02, 1.030668985208601e+05, 3.837321826997844e-02, 7.393925055689369e-01
172, 8.290500044819999e-01, 2.236196298315981e-02, 1.034946622298537e+05, 4.779665481155361e-02, 7.349410496513746e-01
173, 8.407700061800000e-01, 2.097463226217677e-02, 1.039452097179377e+05, 5.772200746223446e-02, 7.302442203262566e-01
174, 8.521599769590000e-01, 1.960709133914372e-02, 1.044232961713106e+05, 6.825403077329349e-02, 7.252642604431744e-01
175, 8.631799817090000e-01, 1.826569132102762e-02, 1.049202661464116e+05, 7.920204932879576e-02, 7.200724677380482e-01
176, 8.738499879840000e-01, 1.694956337677533e-02, 1.054397164429965e+05, 9.064529896277269e-02, 7.146362546249603e-01
177, 8.841500282290000e-01, 1.566269158090452e-02, 1.059786247269848e+05, 1.025171990541579e-01, 7.089852462398156e-01
178, 8.940600156780000e-01, 1.440916392228702e-02, 1.065372799885865e+05, 1.148241159235328e-01, 7.031143023781702e-01
179, 9.035800099370001e-01, 1.319055953446835e-02, 1.071162765992077e+05, 1.275791432979042e-01, 6.970187615582913e-01
180, 9.126999974250000e-01, 1.200973104171110e-02, 1.077152239646602e+05, 1.407736765680658e-01, 6.906933076066913e-01
181, 9.214000105860000e-01, 1.087086069705918e-02, 1.083339590194854e+05, 1.544041234774378e-01, 6.841268472732474e-01
182, 9.296900033950000e-01, 9.774221272349531e-03, 1.089754861776156e+05, 1.685366698745116e-01, 6.772905747013256e-01
183, 9.375399947170000e-01, 8.725349486403867e-03, 1.096389137879636e+05, 1.831516730984886e-01, 6.702031008341788e-01
184, 9.449599981310000e-01, 7.724467125531491e-03, 1.103268108790092e+05, 1.983057276578465e-01, 6.628218103772306e-01
185, 9.519400000570000e-01, 6.774428848839826e-03, 1.110408012505851e+05, 2.140346051114050e-01, 6.551249503585850e-01
186, 9.584699869160000e-01, 5.878077433056352e-03, 1.117830805645597e+05, 2.303866748739837e-01, 6.470772608170227e-01
187, 9.645400047300000e-01, 5.038225493362627e-03, 1.125575083336056e+05, 2.474469602235919e-01, 6.386341786405673e-01
188, 9.701499938960000e-01, 4.256268552403566e-03, 1.133671211122871e+05, 2.652823550519696e-01, 6.297310141131763e-01
189, 9.752799868580000e-01, 3.536324145770189e-03, 1.142181289822061e+05, 2.840296645828073e-01, 6.202997937746291e-01
190, 9.799500107769999e-01, 2.876826092032643e-03, 1.151181960039398e+05, 3.038577245237172e-01, 6.102011274419263e-01
191, 9.841300249100000e-01, 2.283176811071472e-03, 1.160765443848681e+05, 3.249696958352751e-01, 5.993145279264548e-01
192, 9.878399968150000e-01, 1.753609743384430e-03, 1.171067189036585e+05, 3.476639637230465e-01, 5.873719612521735e-01
193, 9.910500049590000e-01, 1.293363843462116e-03, 1.182254124133913e+05, 3.723082640149998e-01, 5.741157001704718e-01
194, 9.937800168990000e-01, 9.004365425509819e-04, 1.194609708400065e+05, 3.995270443411965e-01, 5.590837735108682e-01
195, 9.960200190539999e-01, 5.769983605901485e-04, 1.208449243104795e+05, 4.300148988068686e-01, 5.417100239257129e-01
196, 9.977599978450000e-01, 3.251111630156300e-04, 1.224719350085315e+05, 4.658571915100692e-01, 5.200402161389830e-01
197, 9.990000128750000e-01, 1.452537504052920e-04, 1.244091892596067e+05, 5.085340061067344e-01, 4.929136882996464e-01
198, 9.997500181200000e-01, 3.632896519016437e-05, 1.255261234656442e+05, 5.331395497524807e-01, 4.673455940325839e-01
